median_square_feet,average_listing_price,indicator
1058,207488,Good deal
1296,79900,Good deal
1356,131546,Good deal
2001,910583,Good deal
1724,162508,Good deal
1898,1566500,Good deal
3664,1230667,No deal
2029,372900,Good deal
1956,342725,Good deal
3109,659000,No deal
1758,445743,No deal
2084,406778,Good deal
2187,1162333,Good deal
1382,771604,No deal
3814,4500000,No deal
1850,214417,Good deal
2065,567704,Good deal
1886,272280,Good deal
2444,469957,No deal
1498,301442,No deal
4969,789334,No deal
2600,400000,No deal
3462,542950,No deal
1802,329950,No deal
2716,1071843,No deal
2800,666600,No deal
1624,895000,No deal
1624,100000,Good deal
2464,3824050,No deal
2122,320000,Good deal
2100,380000,Good deal
1200,65000,Good deal
2088,394428,Good deal
1943,476670,Good deal
4324,377692,No deal
2817,1129846,No deal
2043,470071,Good deal
2168,275000,Good deal
1596,185000,Good deal
2311,575868,Good deal
2322,398142,Good deal
1561,856370,No deal
1280,98000,Good deal
2019,411643,Good deal
1431,242701,Good deal
1399,254849,Good deal
1911,421096,Good deal
2252,1109300,Good deal
2239,132400,Good deal
2430,285525,Good deal
1000,42900,Good deal
1804,569966,No deal
2680,335682,No deal
1763,504328,No deal
1300,336433,No deal
2101,408775,Good deal
1288,141952,Good deal
3104,403658,No deal
1180,134900,Good deal
1000,248959,Good deal
2800,698577,No deal
1052,74900,Good deal
1680,830000,No deal
2264,305406,Good deal
3746,341150,No deal
1300,265207,Good deal
3800,1479954,No deal
1624,1190095,No deal
3801,914079,No deal
1533,121636,Good deal
1570,400479,No deal
1360,120882,Good deal
2138,1078508,Good deal
1617,408545,No deal
3156,1418586,No deal
5092,621300,No deal
2070,553860,Good deal
2009,380950,Good deal
3092,549900,No deal
2166,657503,Good deal
840,178865,Good deal
1728,96500,Good deal
1919,283411,Good deal
1873,352533,No deal
1240,189900,Good deal
1989,237820,Good deal
280,499667,No deal
1858,171336,Good deal
1396,313688,No deal
2279,655862,Good deal
870,58000,Good deal
1511,412000,No deal
1558,200483,Good deal
1983,386805,Good deal
2886,559409,No deal
1506,379613,No deal
2415,322500,No deal
1098,159967,Good deal
8553,2750000,No deal
3772,501059,No deal
2342,324500,Good deal
2905,543283,No deal
2119,407199,Good deal
3248,573323,No deal
1250,1094400,No deal
2263,198983,Good deal
3076,412000,No deal
2398,602181,No deal
1008,373130,No deal
1406,382467,No deal
1516,516500,No deal
589,347000,No deal
1796,366800,No deal
1437,121771,Good deal
1511,298000,No deal
2650,583422,No deal
1466,199299,Good deal
1811,407000,No deal
2888,157000,Good deal
2342,324500,Good deal
1505,457210,No deal
2456,628282,No deal
2754,695000,No deal
2688,409925,No deal
2607,427500,No deal
1587,283837,Good deal
1503,475343,No deal
2108,419900,Good deal
3300,348500,No deal
2028,435801,Good deal
3498,939980,No deal
1881,475081,Good deal
1120,140000,Good deal
2050,543250,Good deal
1240,26500,Good deal
2110,343090,Good deal
1789,708856,No deal
2722,461933,No deal
1612,319322,No deal
720,70000,Good deal
1853,371022,No deal
2020,773782,Good deal
1103,183099,Good deal
2795,912500,No deal
1228,206050,Good deal
1353,479099,No deal
2700,506322,No deal
1690,239000,Good deal
1578,186345,Good deal
2276,97213,Good deal
2650,147875,Good deal
900,179000,Good deal
1795,289000,Good deal
3166,516137,No deal
1842,2261289,No deal
3878,532650,No deal
3089,369425,No deal
1940,175000,Good deal
1862,432293,No deal
1770,58000,Good deal
1320,190000,Good deal
1100,79895,Good deal
2009,442368,Good deal
2266,865021,Good deal
1377,194474,Good deal
1757,880384,No deal
2265,336217,Good deal
1422,106604,Good deal
2345,317033,No deal
1757,219017,Good deal
936,52000,Good deal
1397,232450,Good deal
3529,1919185,No deal
3624,497450,No deal
1496,183707,Good deal
2293,565328,Good deal
946,1703600,No deal
2596,219000,Good deal
1753,223048,Good deal
1388,118030,Good deal
3909,705044,No deal
1352,130929,Good deal
2109,311126,Good deal
2043,550478,Good deal
2052,1305249,Good deal
1589,217679,Good deal
1613,333484,No deal
3026,399900,No deal
1253,402614,No deal
2107,453054,Good deal
3144,794000,No deal
2436,135250,Good deal
1972,1204100,Good deal
3760,629926,No deal
2276,561874,Good deal
1139,247708,Good deal
3178,336713,No deal
1397,190565,Good deal
1460,691194,No deal
1415,65595,Good deal
1220,182413,Good deal
3304,2541000,No deal
1600,148000,Good deal
2343,545800,Good deal
1612,138630,Good deal
1718,838474,No deal
1353,1060613,No deal
2058,467932,Good deal
2172,1766402,Good deal
2250,426654,Good deal
1548,174917,Good deal
1746,174296,Good deal
2244,323654,Good deal
1608,332513,No deal
2500,502958,No deal
864,109900,Good deal
3036,299000,No deal
1050,66500,Good deal
1784,45000,Good deal
1296,166083,Good deal
3072,326480,No deal
3072,335000,No deal
2685,463268,No deal
2575,571469,No deal
1494,116598,Good deal
1717,513655,No deal
4803,1037144,No deal
1056,66214,Good deal
1329,438868,No deal
2614,721746,No deal
1680,554597,No deal
1553,305779,No deal
2105,479007,Good deal
2280,1200000,Good deal
1975,414233,Good deal
1747,257512,Good deal
1001,1005953,No deal
1616,408407,No deal
1849,468058,No deal
1902,176359,Good deal
2138,189900,Good deal
1450,313865,No deal
2278,695223,Good deal
2032,182725,Good deal
1864,441736,No deal
1044,110198,Good deal
914,122167,Good deal
1896,44000,Good deal
1370,205328,Good deal
1508,206841,Good deal
2586,899000,No deal
3214,689032,No deal
1344,176991,Good deal
1940,256917,Good deal
1377,308583,No deal
2765,374298,No deal
2484,279150,Good deal
1438,187847,Good deal
2744,337500,No deal
6664,2.20E+07,No deal
1326,119900,Good deal
1906,858235,Good deal
1894,271876,Good deal
1600,225975,Good deal
1679,868681,No deal
1736,506028,No deal
1143,62233,Good deal
2245,444571,Good deal
2262,159633,Good deal
1800,307688,No deal
1385,136200,Good deal
1108,168000,Good deal
2300,1082250,Good deal
1866,581433,No deal
1370,242400,Good deal
2297,263513,Good deal
2201,357402,Good deal
1875,622389,No deal
2131,332103,Good deal
3934,848833,No deal
2654,1709654,No deal
1593,95000,Good deal
1563,251260,Good deal
4619,533033,No deal
1434,305547,No deal
1546,457874,No deal
1455,406902,No deal
999,133967,Good deal
2700,337513,No deal
5184,780000,No deal
1831,551931,No deal
2572,67500,Good deal
1935,527135,Good deal
1746,1977162,No deal
1663,336006,No deal
1527,357970,No deal
1527,235000,Good deal
1488,415522,No deal
1325,126875,Good deal
2463,94754,Good deal
1953,491089,Good deal
1290,152563,Good deal
2200,799000,Good deal
1601,375226,No deal
1388,409500,No deal
1516,81210,Good deal
3160,610325,No deal
1600,299900,No deal
1642,418104,No deal
1730,494980,No deal
2400,1397500,No deal
1712,427000,No deal
1821,696273,No deal
1737,650000,No deal
2500,1325878,No deal
1881,369977,Good deal
2480,435833,No deal
3067,399250,No deal
1700,279450,Good deal
1610,158196,Good deal
2008,879000,Good deal
2669,498804,No deal
1338,86250,Good deal
1612,122474,Good deal
2116,87925,Good deal
2730,99000,Good deal
2111,751282,Good deal
1520,198208,Good deal
1728,375000,No deal
2560,997500,No deal
1322,328149,No deal
1592,517113,No deal
2126,515035,Good deal
1260,699500,No deal
1540,246580,Good deal
2260,91134,Good deal
720,16000,Good deal
1900,200357,Good deal
2824,274975,Good deal
1511,2418055,No deal
6300,597500,No deal
1929,207700,Good deal
3782,2767200,No deal
1344,204154,Good deal
1191,289798,Good deal
3645,1646748,No deal
2861,511517,No deal
2463,507618,No deal
1224,474000,No deal
1490,465000,No deal
952,60000,Good deal
1676,245000,Good deal
1503,413980,No deal
2487,327110,No deal
2130,180185,Good deal
1392,104900,Good deal
2400,1135379,No deal
2800,232852,Good deal
1210,995017,No deal
2000,657303,Good deal
1440,99500,Good deal
2195,418421,Good deal
2502,585926,No deal
6472,3289036,No deal
2672,443395,No deal
1685,1850800,No deal
1976,246083,Good deal
2417,649234,No deal
2051,146600,Good deal
2468,909505,No deal
1150,811008,No deal
1393,152382,Good deal
1803,221113,Good deal
760,65000,Good deal
5985,2090733,No deal
2351,447114,No deal
1340,71100,Good deal
1305,143264,Good deal
2357,267042,Good deal
2053,564628,Good deal
1224,190900,Good deal
1228,228910,Good deal
2415,1211406,No deal
1592,159322,Good deal
1245,167280,Good deal
1278,237081,Good deal
2327,332346,Good deal
2660,1103074,No deal
2468,216000,Good deal
1223,186421,Good deal
952,169900,Good deal
2300,425000,Good deal
1686,279500,Good deal
3468,188100,Good deal
3506,1180680,No deal
1352,44950,Good deal
2038,1021755,Good deal
1372,288999,Good deal
2489,341184,No deal
3170,444187,No deal
2420,330698,No deal
1710,140019,Good deal
1001,525481,No deal
1487,214232,Good deal
2353,361750,No deal
1924,331594,Good deal
1625,694000,No deal
2352,1047323,No deal
2268,675517,Good deal
2296,369725,Good deal
1243,378579,No deal
2138,428675,Good deal
2526,628174,No deal
1848,327625,No deal
1500,266356,Good deal
1200,145000,Good deal
1750,129387,Good deal
2425,283235,Good deal
2476,2600000,No deal
1466,391000,No deal
1900,299975,Good deal
2500,3220700,No deal
1799,745758,No deal
1804,341756,No deal
2058,499900,Good deal
1539,269108,Good deal
2158,322000,Good deal
1092,67838,Good deal
1969,574357,Good deal
1000,79900,Good deal
1748,411379,No deal
1738,280411,Good deal
2078,378585,Good deal
1958,334022,Good deal
1674,124999,Good deal
2682,290503,Good deal
1519,199379,Good deal
4200,3293353,No deal
1830,340817,No deal
2662,353875,No deal
2005,233446,Good deal
1799,244044,Good deal
3406,749227,No deal
2002,685439,Good deal
2323,546794,Good deal
2414,285000,Good deal
1455,188299,Good deal
2510,708171,No deal
2376,498403,No deal
3560,985569,No deal
1487,335345,No deal
1040,65000,Good deal
2634,720463,No deal
1409,622737,No deal
1356,249900,Good deal
1098,42028,Good deal
2900,571779,No deal
3471,815833,No deal
2458,971000,No deal
1374,355044,No deal
2138,112423,Good deal
1190,158102,Good deal
748,54500,Good deal
2701,319000,No deal
2604,582059,No deal
1748,89944,Good deal
1663,312152,No deal
2544,573875,No deal
1326,184613,Good deal
2120,744950,Good deal
1308,122475,Good deal
1232,65000,Good deal
1412,138013,Good deal
2304,104570,Good deal
3334,155000,Good deal
1443,220694,Good deal
1803,361638,No deal
2194,1271873,Good deal
1869,628858,No deal
1707,1093645,No deal
2176,115000,Good deal
1086,192583,Good deal
1560,221708,Good deal
2580,416132,No deal
2701,637725,No deal
1768,499000,No deal
1997,293402,Good deal
1292,206156,Good deal
1271,439900,No deal
1280,183450,Good deal
1867,503316,No deal
2062,1466326,Good deal
1870,695669,No deal
1500,154720,Good deal
2726,980287,No deal
1726,185000,Good deal
1239,400124,No deal
1919,483030,Good deal
1800,268933,Good deal
5028,1406806,No deal
1779,426367,No deal
1547,257011,Good deal
3320,2158333,No deal
1865,679796,No deal
1995,114000,Good deal
1438,210842,Good deal
1216,181804,Good deal
1785,258009,Good deal
2005,344127,Good deal
1911,420014,Good deal
3599,935980,No deal
925,900445,No deal
1753,3195375,No deal
2068,485429,Good deal
1666,189431,Good deal
1540,345893,No deal
2352,1065839,No deal
1399,101286,Good deal
1740,285060,Good deal
2309,416464,Good deal
2148,619750,Good deal
1514,290000,Good deal
2287,600000,Good deal
1605,575724,No deal
2320,245000,Good deal
1123,600024,No deal
1752,364155,No deal
1810,218407,Good deal
1762,497328,No deal
1824,398340,No deal
2631,250000,Good deal
1785,432358,No deal
2201,638338,Good deal
1826,408159,No deal
2884,256630,Good deal
2002,469081,Good deal
2800,1250000,No deal
6120,1650000,No deal
1500,1335597,No deal
967,273650,Good deal
1511,200976,Good deal
1802,349679,No deal
2514,1450982,No deal
3701,932369,No deal
1859,489650,No deal
1722,188971,Good deal
1568,327497,No deal
1910,119000,Good deal
1264,158250,Good deal
3782,846250,No deal
1520,265667,Good deal
1812,224664,Good deal
1828,262425,Good deal
1699,413526,No deal
1403,29500,Good deal
1984,126388,Good deal
3582,666117,No deal
1982,820617,Good deal
1478,283183,Good deal
1583,399061,No deal
1008,193417,Good deal
1248,158000,Good deal
2500,135000,Good deal
2255,618725,Good deal
1732,92100,Good deal
1261,693348,No deal
1534,74900,Good deal
2847,1327500,No deal
1506,120000,Good deal
1190,272796,Good deal
1593,259950,Good deal
2184,547730,Good deal
1989,538817,Good deal
3028,380000,No deal
1177,182708,Good deal
1710,459273,No deal
1638,776868,No deal
1408,928801,No deal
1600,239450,Good deal
1905,463484,Good deal
1260,147370,Good deal
1568,89000,Good deal
1746,165668,Good deal
1037,93543,Good deal
1064,81750,Good deal
2695,366483,No deal
3577,332000,No deal
1996,964633,Good deal
1434,172467,Good deal
3800,354975,No deal
1440,224000,Good deal
1835,575617,No deal
2004,425000,Good deal
1968,291843,Good deal
1189,48293,Good deal
1575,362065,No deal
1014,47220,Good deal
1344,432944,No deal
644,59999,Good deal
2100,307025,Good deal
1101,157576,Good deal
2477,553700,No deal
4368,870761,No deal
1008,79900,Good deal
1981,396240,Good deal
2200,4008325,Good deal
1779,408507,No deal
3000,1995225,No deal
1673,156150,Good deal
3762,1165205,No deal
2059,619404,Good deal
2975,522495,No deal
2454,662756,No deal
1610,399988,No deal
2017,547456,Good deal
1677,329439,No deal
1546,548488,No deal
2200,1038612,Good deal
2303,378786,Good deal
1218,212256,Good deal
1845,475760,No deal
1754,135376,Good deal
1206,69550,Good deal
4838,419167,No deal
2488,1435063,No deal
2050,378337,Good deal
1847,479741,No deal
1789,254361,Good deal
1256,152858,Good deal
1418,132971,Good deal
2240,854938,Good deal
1711,232535,Good deal
1710,366996,No deal
2336,157500,Good deal
1396,88350,Good deal
2459,2079371,No deal
1246,255827,Good deal
744,149000,Good deal
4500,8950000,No deal
1354,114900,Good deal
9308,6747000,No deal
2325,618445,Good deal
3075,790491,No deal
2210,258950,Good deal
1648,294578,No deal
2080,347000,Good deal
2992,631001,No deal
1088,929175,No deal
2098,536618,Good deal
2570,328404,No deal
1900,160000,Good deal
1074,396269,No deal
900,203333,Good deal
1997,182942,Good deal
2219,45000,Good deal
1765,250705,Good deal
2193,474352,Good deal
1280,99850,Good deal
2294,811504,Good deal
2883,766943,No deal
1232,135000,Good deal
1939,3399383,Good deal
1856,921174,No deal
2311,397568,Good deal
1156,139900,Good deal
1980,341636,Good deal
1843,292277,Good deal
3982,449000,No deal
2285,178750,Good deal
1456,298000,No deal
1606,284185,Good deal
1588,357204,No deal
1900,183067,Good deal
3514,3142751,No deal
1410,169900,Good deal
3072,760000,No deal
1420,863051,No deal
1254,148920,Good deal
1486,79900,Good deal
1858,261791,Good deal
3281,877092,No deal
754,279000,Good deal
2177,280117,Good deal
2822,889000,No deal
1877,474023,No deal
1414,203249,Good deal
1975,380253,Good deal
1923,394888,Good deal
1988,450410,Good deal
1098,2224141,No deal
2040,425344,Good deal
1119,480813,No deal
2044,530050,Good deal
1580,58675,Good deal
5120,793351,No deal
2800,247300,Good deal
2966,965646,No deal
1178,152400,Good deal
1196,172039,Good deal
1673,550908,No deal
1925,318427,Good deal
3016,1658467,No deal
1394,110853,Good deal
3175,361127,No deal
2397,377220,No deal
1594,654729,No deal
1584,89900,Good deal
1254,99975,Good deal
1837,683943,No deal
2326,1086048,Good deal
1429,87917,Good deal
1190,79535,Good deal
1600,446633,No deal
1368,117950,Good deal
2675,517875,No deal
1135,256050,Good deal
1798,375000,No deal
3744,328443,No deal
1743,160570,Good deal
4290,250000,Good deal
2248,444333,Good deal
1822,516225,No deal
1548,471372,No deal
1905,450138,Good deal
2008,407260,Good deal
3213,356367,No deal
